PETITION,NAME OF PROPERTY,ADDRESS,NEIGHBORHOOD,PETITION BY,CATEGORY,DETAILS,full_address,lat,lon,coordinate,PID
25,Jacob Wirth's Restaurant (interior & exterior),31-39 Stuart St,Theater,10 Voters,A = Individual Landmark,BLC Designation Vote 1977,"31-39 Stuart St, Theater, MA",42.3512796,-71.0639681,"42.3512796, -71.0639681",0
24,Eben Jordan House (interior),46 Beacon St,Beacon Hill,10 Voters,C = Pending Landmark/District,Under Study - 2000,"46 Beacon St, Beacon Hill, MA",42.3568585,-71.0673032,"42.3568585, -71.0673032",0501489001
23,Paramount Theater (exterior & interior),549-563 Washington St,Theater,10 Voters,A = Individual Landmark,BLC Designation Vote 1984,"549-563 Washington St, Theater, MA",42.3537902,-71.0625228,"42.3537902, -71.0625228",0
22,Charles Street Jail (2d petition),215 Charles St,"Boston, Downtown",10 Voters,E = Unsuccessful Petition,Mayoral Veto 7/26/1985,"215 Charles St, Boston, Downtown, MA",42.3621448,-71.070112,"42.3621448, -71.070112",0
22,Charles Street Jail,215 Charles St,"Boston, Downtown",10 Voters,E = Unsuccessful Petition,City Council Veto 1/1979,"215 Charles St, Boston, Downtown, MA",42.3621448,-71.070112,"42.3621448, -71.070112",0
21,"Carver Street, 12, 14, 16","12, 14, 16 Carver St","Boston, Downtown",10 Voters,F = Unsuccessful Petition & Demolished,"Denied, Demolished 1979","12, 14, 16 Carver St, Boston, Downtown, MA",42.3819824,-71.1123346,"42.3819824, -71.1123346",0
20,James Blake House (interior & exterior),210 East Cottage St,Dorchester,Commissioner,A = Individual Landmark,BLC Designation Vote 1978,"210 East Cottage St, Dorchester, MA",42.31963340000001,-71.0600128,"42.31963340000001, -71.0600128",0
19,Commonwealth Avenue Mall,,Back Bay,Commissioner,A = Individual Landmark,BLC Designation Vote 1978,"See Map, Back Bay, MA",42.3495236,-71.0794717,"42.350661524647506, -71.08298987252432",0
18,William Monroe Trotter House,97 Sawyer Ave,Dorchester,Commissioner,A = Individual Landmark,BLC Designation Vote 1977,"97 Sawyer Ave, Dorchester, MA",42.3130149,-71.0627882,"42.3130149, -71.0627882",0
17,Hayden Building,681 Washington St,Theater,Commissioner,A = Individual Landmark,BLC Designation Vote 1977,"681 Washington St, Theater, MA",42.1929355,-71.2018021,"42.1929355, -71.2018021",0
16,Ebenezer Hancock House (interior & exterior),Marshall St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC Designation Vote 1978,"Marshall St, Boston, Downtown, MA",42.3615911,-71.0569262,"42.3615911, -71.0569262",0
15,Arlington Street Church,355 Boylston St,Back Bay,10 Voters,A = Individual Landmark,BLC Designation Vote 1978,"355 Boylston St, Back Bay, MA",42.3520119,-71.071528,"42.3520119, -71.071528",0
14,Brook Farm,670 Baker St,West Roxbury,10 Voters,A = Individual Landmark,BLC Designation Vote 1977,"670 Baker St, West Roxbury, MA",42.2913157,-71.1741848,"42.2913157, -71.17418479999999",0
13,South End Landmark District & Protection Area,,South End,10 Voters,B = District,BLC Designation Vote 1983,"See Map, South End, MA",42.3407288,-71.0705633,"42.3407288, -71.0705633",0
12,Commercial Wharf,Atlantic Ave,Waterfront,10 Voters,C = Pending Landmark/District,Under Study - 1977,"Atlantic Ave, Waterfront, MA",42.3576194,-71.0511537,"42.3576194, -71.0511537",0
11,"State Street, 150-152",150-152 State St,"Boston, Downtown",10 Voters,E = Unsuccessful Petition,Petition Denied 6/1979,"150-152 State St, Boston, Downtown, MA",42.3593999,-71.0540757,"42.3593999, -71.0540757",0
10,"Newbury Street, 37",37 Newbury St,Back Bay,10 Voters,E = Unsuccessful Petition,Petition Denied 8/1978,"37 Newbury St, Back Bay, MA",42.3524298,-71.0731065,"42.3524298, -71.0731065",0
9,Ashmont Hill Architectural Conservation District,Ashmont Hill,Dorchester,10 Voters,C = Pending Landmark/District,Under Study - 1977,"Ashmont Hill, Dorchester, MA",42.2869304,-71.0598597,"42.2869304, -71.0598597",0
8,Roswell Gleason House,101 Claybourne St,Dorchester,Commissioner,D = Designated or Pending but Demolished,Burned/Demolished 10/1982,"101 Claybourne St, Dorchester, MA",42.29699670000001,-71.0715034,"42.29699670000001, -71.0715034",0
7,Adams Nervine Asylum,990-1020 Centre St,Jamaica Plain,Commissioner,A = Individual Landmark,BLC Designation vote 1977,"990-1020 Centre St, Jamaica Plain, MA",42.305789,-71.1233589,"42.305789, -71.1233589",0
6,International Trust Company Building,45 Milk St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC Designation vote 1978,"45 Milk St, Boston, Downtown, MA",42.3564855,-71.0576231,"42.3564855, -71.05762310000001",0
5,Public Garden,Beacon St,"Boston, Downtown",Commissioner,A = Individual Landmark,BLC Designation vote 1977,"Beacon St, Boston, Downtown, MA",42.3568104,-71.0666164,"42.3568104, -71.0666164",0
4,Boston Common,Beacon Street,Downtown,Commissioner,A = Individual Landmark,BLC Designation vote 1977,"Beacon Street, Downtown, MA",42.3358757,-71.1524918,"42.3358757, -71.1524918",0
3,"Donald McKay House [barn razed 5-2022, owner must rebuild]",80 White St,East Boston,Commissioner,A = Individual Landmark,BLC Designation vote 1977,"80 White St, East Boston, MA",42.3807057,-71.0364518,"42.3807057, -71.0364518",0
2,Armory of 1st Corps Cadets (exterior see #40),Arlington @ Columbus,South Cove,Commissioner,A = Individual Landmark,BLC Designation vote 1977,"Arlington @ Columbus, South Cove, MA",42.4072107,-71.3824374,"42.4072107, -71.3824374",0
1,St. Mary of the Sacred Heart Church,24 Thatcher St,North End,10 Voters,E = Unsuccessful Petition,Denied 1/25/1977,"24 Thatcher St, North End, MA",42.3652237,-71.0572923,"42.3652237, -71.0572923",0
